"구분,지점코드,숙소명,비교대상자사코드,상권명,,,야호,,,,,,,,,,,,,"
"경쟁사,1018700,청주 벤호텔 청주대점,28084,청주 상당구/ 청원구 (청주국제공항),,,,,,,,,,,,,,,,"
"경쟁사,1000108428,청주 브라운도트 청주시청점,28084,청주 상당구/ 청원구 (청주국제공항),,,,,,,,,,,,,,,,"
"자사,10048018,아늑호텔 청주우암 2호점,,청주 상당구/ 청원구 (청주국제공항),,,,,,,,,,,,,,,,"
"경쟁사,28226,청주 북문로 아모르,10048018,청주 상당구/ 청원구 (청주국제공항),,,,,,,,,,,,,,,,"
"경쟁사,24366,청주 어반브라운 호텔,10048018,청주 상당구/ 청원구 (청주국제공항),,,,,,,,,,,,,,,,"
"경쟁사,1000101047,청주 북문로 샹보르,10048018,청주 상당구/ 청원구 (청주국제공항),,,,,,,,,,,,,,,,"
"자사,10041035,노마드 아늑호텔 구미점,,구미,,,,,,,,,,,,,,,,"
"경쟁사,1020526,구미 인동 호텔여기어때 2호점,10041035,구미,,,,,,,,,,,,,,,,"
"경쟁사,3012296,구미 인동 호텔 까사 보니따,10041035,구미,,,,,,,,,,,,,,,,"
"경쟁사,10042443,구미 인동 타임 호텔,10041035,구미,,,,,,,,,,,,,,,,"
"자사,10041032,오브젝트 아늑호텔 구미점,,구미,,,,,,,,,,,,,,,,"
"경쟁사,3014180,구미 인동 Hotel 7 Plus,10041032,구미,,,,,,,,,,,,,,,,"
"경쟁사,3002120,구미 인동 호텔유럽 1호점,10041032,구미,,,,,,,,,,,,,,,,"
"경쟁사,3017235,구미 인동 국민 호텔,10041032,구미,,,,,,,,,,,,,,,,"
"자사,100552,아늑호텔 전주점,,전주 덕진구,,,,,,,,,,,,,,,,"
"경쟁사,1000112630,전주 산정동 바른 숙박 (BARUN STAY),100552,전주 덕진구,,,,,,,,,,,,,,,,"
"경쟁사,3012517,전주 산정동 NABI(나비),100552,전주 덕진구,,,,,,,,,,,,,,,,"
"경쟁사,26395,전주 산정동 칸,100552,전주 덕진구,,,,,,,,,,,,,,,,"
"자사,10047681,아늑호텔 부산남포점,,남포동/중앙동/태종대/송도/영도,,,,,,,,,,,,,,,,"
